"group","individual.local.identifier","timestamp","location.long","location.lat"
"AA","all",2014-01-09 06:00:00,-85.3716912258901,10.5150947347444
"AA","all",2014-01-09 06:30:00,-85.3714433172917,10.5158434902029
"AA","all",2014-01-09 07:00:00,-85.3704201522145,10.515414043386
"AA","all",2014-01-09 07:30:00,-85.3699743608033,10.5152971018137
"AA","all",2014-01-09 08:00:00,-85.3699637018084,10.5152071500212
"AA","all",2014-01-09 08:30:00,-85.3697781684033,10.5146117839938
"AA","all",2014-01-09 09:00:00,-85.3688772254872,10.5139549914912
"AA","all",2014-01-09 09:30:00,-85.3681901329201,10.5129567347555
"AA","all",2014-01-09 10:00:00,-85.3679873049278,10.5128106102362
"AA","all",2014-01-09 10:30:00,-85.3678843471524,10.5126007553369
"AA","all",2014-01-09 11:00:00,-85.3676105552762,10.5117164031211
"AA","all",2014-01-09 11:30:00,-85.3681394225564,10.5109144840729
"AA","all",2014-01-09 12:00:00,-85.3686210746009,10.5105347698607
"AA","all",2014-01-09 12:30:00,-85.3687084560299,10.5101888627772
"AA","all",2014-01-09 13:00:00,-85.369254020069,10.5097232898778
"AA","all",2014-01-09 13:30:00,-85.3692571213243,10.509524457164
"AA","all",2014-01-09 14:00:00,-85.3689818455745,10.5087906215549
"AA","all",2014-01-09 14:30:00,-85.3693784353645,10.5084319040752
"AA","all",2014-01-09 15:00:00,-85.3695565927711,10.508038094274
"AA","all",2014-01-09 15:30:00,-85.3694075484781,10.5073319329089
"AA","all",2014-01-09 16:00:00,-85.3687410339438,10.5072965754223
"AA","all",2014-01-09 16:30:00,-85.3681605869253,10.5081835482756
"AA","all",2014-01-09 17:00:00,-85.3680813833162,10.5088870916506
"AA","all",2014-01-09 17:30:00,-85.3682272788137,10.509597491473
"AA","all",2014-01-10 05:00:00,-85.368106315282,10.5112643031543
"AA","all",2014-01-10 05:30:00,-85.3674824074973,10.5145805051187
"AA","all",2014-01-10 06:00:00,-85.3673249529672,10.51565636416
"AA","all",2014-01-10 06:30:00,-85.3664723734981,10.5153654842534
"AA","all",2014-01-10 07:00:00,-85.3658501038689,10.5147594195689
"AA","all",2014-01-10 07:30:00,-85.3648823405673,10.514629329995
"AA","all",2014-01-10 08:00:00,-85.3639877121878,10.5146625079247
"AA","all",2014-01-10 08:30:00,-85.3632695508236,10.5147793658241
"AA","all",2014-01-10 09:00:00,-85.3634583782153,10.5152383614565
"AA","all",2014-01-10 09:30:00,-85.3634987677862,10.515730949131
"AA","all",2014-01-10 10:00:00,-85.3639305056317,10.5160209210696
"AA","all",2014-01-10 10:30:00,-85.3640744509283,10.5166185228183
"AA","all",2014-01-10 11:00:00,-85.364055873873,10.5169126633668
"AA","all",2014-01-10 11:30:00,-85.3639391949307,10.5179569171774
"AA","all",2014-01-10 12:00:00,-85.3640975011212,10.5184062570402
"AA","all",2014-01-10 12:30:00,-85.3643904907044,10.5182436761351
"AA","all",2014-01-10 13:00:00,-85.3643768336099,10.5177001264231
"AA","all",2014-01-10 13:30:00,-85.3642603336188,10.5171539867346
"AA","all",2014-01-10 14:00:00,-85.3643039614226,10.516339321625
"AA","all",2014-01-10 14:30:00,-85.3641003929012,10.5155648756786
"AA","all",2014-01-10 15:00:00,-85.3641461301165,10.5147791169633
"AA","all",2014-01-10 15:30:00,-85.3643590306485,10.5144585763072
"AA","all",2014-01-10 16:00:00,-85.3650565724947,10.5136666820033
"AA","all",2014-01-10 16:30:00,-85.3659837925732,10.5137464777005
"AA","all",2014-01-10 17:00:00,-85.3677053714008,10.5137805310419
"AA","all",2014-01-10 17:30:00,-85.3682713676244,10.5136849265546
"AA","all",2014-01-11 05:00:00,-85.3693164794168,10.5134935681724
"AA","all",2014-01-11 05:30:00,-85.3713202990353,10.5130881633467
"AA","all",2014-01-11 06:00:00,-85.3727260557384,10.513010798175
"AA","all",2014-01-11 06:30:00,-85.3739601934193,10.5122726458001
"AA","all",2014-01-11 07:00:00,-85.3748564003254,10.511533515706
"AA","all",2014-01-11 07:30:00,-85.3755029943042,10.5110723432266
"AA","all",2014-01-11 08:00:00,-85.3755178581905,10.5109007600701
"AA","all",2014-01-11 08:30:00,-85.375470221043,10.5107479076851
"AA","all",2014-01-11 09:00:00,-85.375425531525,10.510680601003
"AA","all",2014-01-11 09:30:00,-85.3761283820093,10.5108549866336
"AA","all",2014-01-11 10:00:00,-85.3773133322814,10.5106369316601
